Specter of Betrayal (No Overlap),95868,102892,106126,113308,117519,122339,128586,131392,141381,144714,154380,161525,171293,176539,185927,192373,0,0,0
Horn of Valor,82388,85459,87247,92876,94592,100041,101146,104138,105713,108949,115574,122487,127607,130025,136031,137771,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195191
Terrorbound Nexus,57637,56652,58191,59331,62608,62755,63909,67214,69044,71959,75188,75898,81553,82419,83602,90933,0,0,0
Unstable Arcanocrystal,122943,125009,130462,131421,127804,134024,135429,139755,142291,144155,148663,150300,152332,157990,162022,162818,0,0,0
Golganneth's Vitality 5-Pantheon,0,0,0,0,0,0,149006,155359,159988,167214,175106,184238,196325,197967,209259,225447,230581,243196,255310
Kiljaeden's Burning Wish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219861
Thrice Accursed Compass,99877,106958,106331,114041,115308,121052,127080,136206,136130,145151,153296,153406,162459,168475,175073,183444,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173782
Mark of Dargrul,63413,60841,61892,59275,64275,66725,68806,70318,73555,75815,76998,77429,80519,83877,83644,86827,0,0,0
Forgefiend's Fabricator,0,71282,78455,77683,82000,84831,86790,87940,93284,94940,100518,102806,105990,108858,112193,113612,0,0,0
Engine of Eradication,105453,111514,118919,117800,123508,132424,134691,139702,148000,148944,157211,164233,170045,178657,180169,191731,0,0,0
Infernal Alchemist Stone,0,0,0,0,0,121255,0,0,0,0,0,0,0,0,0,0,0,0,0
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237316
Golganneth's Vitality,0,0,0,0,0,0,133882,140335,149893,157360,159735,168444,181483,188260,198441,203844,215747,225943,236647
