Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,63556,66272,66225,69686,72785,75357,77333,79013,78667,83721,84005,87261,0,0,0
DraughtOfSouls,54336,60229,65130,68344,74431,77400,84730,87924,89125,93541,100687,106121,0,0,0
ChronoShard,101425,106608,111366,113208,120532,124695,130298,133567,140476,145750,150625,158324,0,0,0
HornOfValor,95627,96773,103317,107681,108695,113239,119944,124421,125623,130964,135868,140953,0,0,0
Stat_Mastery,103704,106249,113021,113728,118913,124878,127686,139159,141631,146241,151233,160686,0,0,0
BloodstainedHandkerchief,84009,90216,93529,102624,104327,107861,112124,117569,124745,129182,136435,140856,0,0,0
RavagedSeedPod,52589,55927,54485,58628,58350,56846,62532,60635,62498,65939,66309,68763,0,0,0
ConvergenceOfFates,123152,129012,131979,134426,140195,146194,150684,151890,159117,165058,170454,174443,0,0,0
UmbralMoonglaives,78859,80746,82370,86056,90857,92367,94463,100126,104155,108332,112656,115086,0,0,0
NightbloomingFrond,90730,94485,99117,103141,107194,111375,116517,124350,129298,136429,141822,147863,0,0,0
Stat_Crit,105206,105754,113784,117816,121668,124426,134641,136964,144609,146623,152353,158022,0,0,0
MementoOfAngerboda,104374,108863,114565,118475,123614,125958,131478,137737,141490,148716,155901,159657,0,0,0
ArcanogolemDigit,88371,92674,95419,101922,105878,109541,117706,120205,127175,130581,136038,144227,0,0,0
MarkOfDargrul,50861,52634,54330,55260,57900,59410,61043,64733,63964,67643,68207,69568,0,0,0
ChaosTalisman,113549,120806,125041,128067,133138,137545,144882,148457,152973,160747,165724,173136,0,0,0
Stat_Haste,112786,114118,120988,124279,127743,132112,136891,144340,148298,153137,163002,167879,0,0,0
EyeOfCommand,118396,121246,128133,131881,135255,142621,146735,151073,157691,164048,174566,178260,0,0,0
TemperedEggOfSerpentrix,89346,92672,95536,102827,108591,110297,116953,122381,125549,133604,143642,149219,0,0,0
InfernalCinders,88203,92121,94268,96884,98631,104692,110322,112040,116374,122628,125641,128043,0,0,0
UnstableArcanocrystal,128450,131831,133492,136796,139301,141902,144028,146133,145827,151531,153336,158858,0,0,0
TirathonsBetrayal,89652,90209,95029,101044,104972,109137,117586,123286,127049,134426,138589,143844,0,0,0
EntwinedElementalFoci,107089,111805,114320,116205,123289,129062,130724,139799,143447,149708,153921,162477,0,0,0
BloodthirstyInstict,121913,124142,131709,133765,138797,144316,150680,152102,158443,166764,172672,179291,0,0,0
ForgefiendsFabricator,73634,79531,77805,81645,85549,87679,90351,92935,96665,97597,102526,109235,0,0,0
HungerOfThePack,103849,107445,114581,114153,121211,129200,131578,137584,142334,148284,153465,162300,0,0,0
NightmareEggShell,101846,105638,108685,114692,116411,118883,127849,131786,136938,141623,148231,154663,0,0,0
EngineOfEradication_NoOrbs,70833,73610,77003,78591,81430,85837,86816,90726,91258,96088,101200,104569,0,0,0
SixFeatherFan,98411,101464,105315,110830,115724,119723,125340,131191,139546,146240,154136,162448,0,0,0
CradleOfAnguish,121699,123724,128691,132726,137525,141884,147766,155392,159521,168700,172239,182584,0,0,0
TinyOozelingInAJar,44882,49563,50518,53054,53876,55787,56793,57779,58996,63179,62518,68204,0,0,0
SpikedCounterweight,61460,65050,66580,68631,69603,71516,71805,79591,74801,80529,82976,81270,0,0,0
SeepingScourgewing,112978,116680,123696,124934,131330,136472,142185,146149,153312,158894,166213,170724,0,0,0
GolgannethsVitality,0,0,120129,124347,129925,135484,144782,149636,157226,164445,174557,182429,194507,201925,206581
NaturesCall,70926,73317,72519,75251,77032,76311,76925,80862,83021,84998,86001,88037,0,0,0
SpontaneousAppendages,64161,67040,67181,70337,71195,71661,74765,78902,81214,82172,87559,89077,0,0,0
ThriceAccursedCompass,108220,112057,116218,122052,126217,132407,132102,141344,147270,151946,158860,167414,0,0,0
TerrorboundNexus,56333,59467,58266,61161,63711,62944,68270,68887,69224,75710,76528,80211,0,0,0
VoidStalkersContract,84370,87318,90207,95501,102385,105374,110234,115240,122274,127495,130999,138341,0,0,0
SpecterOfBetrayal,113507,115697,122132,129523,133434,140622,146983,154070,164042,167119,176566,186002,0,0,0
Stat_Versatility,106546,115620,117567,121678,125216,132089,134038,138168,144815,149481,157763,163672,0,0,0
TomeOfUnravelingSanity,100741,102612,105991,112169,115070,122315,127563,133109,137358,142381,149635,156353,0,0,0
InfernalAlchemistStone,0,107213,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,126044,0,0,0,0,0,162645,0,0,0,0,0,205814
VialOfCeaselessToxins,102195,103949,109868,116470,121421,127097,134384,140427,145775,153292,160605,168603,0,0,0
SpecterOfBetrayal_NoOverlap,91453,94687,100669,104604,110056,114437,122036,125878,135018,140662,146962,152206,0,0,0
ShadowsingedFang,90842,95649,98372,102618,107743,105916,113916,118898,120807,129525,134724,139634,0,0,0
WindscarWhetstone,45285,43409,44331,43667,47343,48794,49383,50552,51565,54329,57273,55568,0,0,0
ToeKneesPromise,58171,59731,61338,62271,62156,67678,69168,72656,73923,74428,76334,77666,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166625
EngineOfEradication,105595,111217,114076,117269,123220,127506,133588,139496,143988,152761,155276,161949,0,0,0
GorshalachsLegacy,117000,122156,128292,133417,138509,143032,148612,155636,158971,168790,172207,180809,0,0,0
TerminusSignalingBeacon,42784,43205,42270,47226,49431,48745,49428,47971,51315,50384,54851,58507,0,0,0
InfernalCinders_3Users,94683,96655,101435,103781,108940,112165,116557,123492,127933,130753,139129,142688,0,0,0
