Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,74179,77541,77113,80191,83189,85766,91267,95230,97327,101166,105454,106944,0,0,0
DraughtOfSouls,50260,50991,55469,58357,61779,66510,69816,70020,78431,79579,87532,91446,0,0,0
ChronoShard,108090,112212,117763,121019,125872,131983,137776,142838,150072,154126,158330,169497,0,0,0
HornOfValor,104455,106654,112040,114359,121519,124577,130485,135047,141544,145849,152821,157723,0,0,0
Stat_Mastery,106063,110339,114244,120476,127724,132017,137715,140404,150805,152345,159999,165076,0,0,0
BloodstainedHandkerchief,88121,91406,92764,98576,104304,109463,118091,121336,126809,134352,136555,143810,0,0,0
RavagedSeedPod,51772,53735,54318,57215,58289,61784,59454,62999,61975,65009,64758,70515,0,0,0
ConvergenceOfFates,114970,117028,123271,126303,131171,138791,141691,146186,153469,158457,163541,169556,0,0,0
UmbralMoonglaives,69626,68357,71072,76042,78522,81006,84717,87935,91369,92442,95198,101428,0,0,0
NightbloomingFrond,105720,111176,116753,125099,129092,135159,142398,151284,157580,162056,172657,181903,0,0,0
Stat_Crit,102601,110778,114059,120482,124103,130829,135993,140266,144005,151943,159572,162789,0,0,0
MementoOfAngerboda,110474,114888,121442,124399,128064,134783,140781,144114,147769,158439,161994,167544,0,0,0
ArcanogolemDigit,85854,90973,92609,99011,106507,111209,113818,121225,127854,131998,136459,142854,0,0,0
MarkOfDargrul,48153,51534,53566,53358,54661,58930,59590,61507,61048,62848,64897,68618,0,0,0
ChaosTalisman,125082,128263,132024,138625,144591,149405,155544,162394,169379,173554,182657,191978,0,0,0
Stat_Haste,116208,120319,122631,134776,135515,140142,146613,153663,155972,161919,169762,177612,0,0,0
EyeOfCommand,122690,127248,131709,137230,142391,147056,154891,162306,164793,172815,179392,187555,0,0,0
TemperedEggOfSerpentrix,92611,100764,107570,110207,118226,122164,127612,133721,141093,147386,155697,161852,0,0,0
InfernalCinders,87296,88445,91885,97660,97639,102605,106894,115312,114903,122566,124862,132772,0,0,0
UnstableArcanocrystal,133883,135629,137861,140313,143651,146014,146960,151346,151646,154318,158768,161661,0,0,0
TirathonsBetrayal,86654,91414,94852,101198,102763,107299,115067,120757,127281,130730,142913,146725,0,0,0
EntwinedElementalFoci,109329,117185,118094,124739,129656,133857,141800,146001,150609,157058,165198,169435,0,0,0
BloodthirstyInstict,127548,132530,137883,143554,148468,152820,159041,164110,171600,176542,184723,190812,0,0,0
ForgefiendsFabricator,74373,80223,82155,84491,88410,91277,92967,97733,102749,103648,110534,114636,0,0,0
HungerOfThePack,108064,111247,116231,118121,122026,131538,136026,139761,146747,151692,159150,164640,0,0,0
NightmareEggShell,106527,110372,115491,119625,122992,129072,133196,139358,147452,150444,157540,165781,0,0,0
EngineOfEradication_NoOrbs,73212,79049,80289,86290,87428,90443,93737,96464,100184,103206,107789,112637,0,0,0
SixFeatherFan,115185,119936,125566,136396,140890,145808,154212,160597,168215,178221,186722,194717,0,0,0
CradleOfAnguish,124626,127050,135598,138726,145629,150069,159052,165876,168518,175741,185564,191938,0,0,0
TinyOozelingInAJar,48628,49691,54538,56856,56686,57868,60482,62633,66870,65005,66129,69078,0,0,0
SpikedCounterweight,64489,67890,68120,69841,73520,75445,75432,78192,84403,80193,88213,89227,0,0,0
SeepingScourgewing,100923,106043,110304,112870,117770,124328,125186,134482,136725,145006,150330,155882,0,0,0
GolgannethsVitality,0,0,149488,157802,166758,176625,184662,192528,200339,211418,221331,232035,243218,254580,267489
NaturesCall,79041,80700,83899,84394,87417,89832,88225,93398,95007,93889,97625,99983,0,0,0
SpontaneousAppendages,78786,84577,84923,88735,90777,92647,96233,96942,99881,100928,105391,108757,0,0,0
ThriceAccursedCompass,117700,119717,125874,132567,137071,141588,148304,151994,160067,167581,169032,176758,0,0,0
TerrorboundNexus,53342,56028,55113,56785,58649,62251,64331,67675,65781,69256,71568,72392,0,0,0
VoidStalkersContract,81947,85665,92263,93932,101990,103358,110949,114980,123079,126969,132956,136568,0,0,0
SpecterOfBetrayal,104767,111303,115873,124593,125022,134020,138107,148544,155343,162773,170948,179635,0,0,0
Stat_Versatility,106859,112025,116931,121049,125216,131468,136711,141917,146123,153436,159004,167669,0,0,0
TomeOfUnravelingSanity,100028,99878,107290,111861,115443,120984,126846,133384,136412,142733,147930,157273,0,0,0
InfernalAlchemistStone,0,107152,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,137782,0,0,0,0,0,174392,0,0,0,0,0,220542
VialOfCeaselessToxins,98202,102664,107171,111937,117846,123510,129014,138085,139510,149613,156284,165558,0,0,0
SpecterOfBetrayal_NoOverlap,88964,94669,94794,103391,106108,112088,118588,121630,130991,137302,142231,151772,0,0,0
ShadowsingedFang,89085,95387,98467,102937,106802,110790,115545,116903,124862,129508,133178,144351,0,0,0
WindscarWhetstone,42001,41730,43793,44592,46014,47905,48203,48653,48679,53113,55380,54051,0,0,0
ToeKneesPromise,70580,70354,72020,77411,81230,82530,84822,87073,88960,89493,92852,100575,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170307
EngineOfEradication,110179,115351,118054,124856,127030,132317,141091,142434,149995,157431,163815,168707,0,0,0
GorshalachsLegacy,89884,91591,93644,98587,101824,108235,109963,114332,115539,121883,128502,130798,0,0,0
TerminusSignalingBeacon,49163,44407,49206,52082,51168,53546,56351,58622,59742,59222,61111,63711,0,0,0
InfernalCinders_3Users,94047,97790,102423,106989,111129,116858,120760,126126,128714,135019,139463,143486,0,0,0
