Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,89490,92344,96136,97969,101955,106261,109344,112051,115745,123345,124490,128657,0,0,0
DraughtOfSouls,71815,73776,75152,81830,84433,89985,93286,97509,102718,107252,112229,117183,0,0,0
ChronoShard,98001,101061,108090,109382,116120,116890,122693,128977,134496,137877,141987,151580,0,0,0
HornOfValor,112601,119373,122769,128620,133015,139548,145290,149448,155253,162640,168375,175282,0,0,0
Stat_Mastery,97784,98644,102435,108510,112210,117228,120785,124883,131521,134784,142400,148702,0,0,0
BloodstainedHandkerchief,80908,82688,88677,90484,96543,100841,107476,109784,116573,122108,128903,135690,0,0,0
RavagedSeedPod,48975,51095,53745,53552,55637,55950,60094,56784,62062,62996,64493,64255,0,0,0
ConvergenceOfFates,82431,86348,92420,93670,97624,101937,105518,108412,115907,118709,125945,130422,0,0,0
UmbralMoonglaives,89903,92839,92246,98625,99710,104668,107875,113494,118252,123844,125987,132604,0,0,0
NightbloomingFrond,99565,102856,110987,112407,118688,124409,128990,137982,144074,150015,154578,162419,0,0,0
Stat_Crit,111859,117352,119085,126307,129573,138554,139970,144537,148090,154561,162030,170178,0,0,0
MementoOfAngerboda,103264,107564,117259,118468,122435,127475,132576,134777,142059,148170,154233,158292,0,0,0
ArcanogolemDigit,86168,87225,92214,97198,102614,104551,112080,116728,122147,125724,132542,139413,0,0,0
MarkOfDargrul,64924,67374,70675,73946,74155,75535,79375,81076,83002,87276,87555,90087,0,0,0
ChaosTalisman,110690,113162,117772,123605,130426,135124,141081,143918,152249,155815,162423,172926,0,0,0
Stat_Haste,102587,107097,111360,115234,119914,124822,128189,133811,138267,143355,149646,156833,0,0,0
EyeOfCommand,135263,139749,143183,148587,153409,160628,164887,170722,175503,181781,187422,196442,0,0,0
TemperedEggOfSerpentrix,76825,82243,86863,87759,93419,101387,103139,107147,112873,117962,123077,129679,0,0,0
InfernalCinders,109392,115570,117447,123139,127045,129748,136632,139054,145981,150242,157831,162709,0,0,0
UnstableArcanocrystal,134653,137446,140267,147541,146289,150290,152541,155606,158310,161402,164133,168239,0,0,0
TirathonsBetrayal,84003,86571,92004,94381,100805,104989,110253,114375,119139,128659,131817,138368,0,0,0
EntwinedElementalFoci,104427,108975,113383,117747,121796,126898,130165,137743,140769,146447,153644,160010,0,0,0
BloodthirstyInstict,115721,116294,122903,124464,133382,136028,140555,145909,151512,157696,161252,169592,0,0,0
HungerOfThePack,112241,117613,122742,125500,129746,136288,139644,146431,152755,155060,161648,169269,0,0,0
NightmareEggShell,96390,97021,98766,107443,108821,116386,118995,123681,128020,133480,138329,145268,0,0,0
EngineOfEradication_NoOrbs,67031,71598,74310,74427,78736,81476,81651,88513,91340,94636,97137,99234,0,0,0
SixFeatherFan,95948,99298,105731,110445,114536,117340,127487,131917,137893,145454,148160,156278,0,0,0
CradleOfAnguish,108848,113663,120160,122103,130449,132951,137601,144019,150110,155530,164241,168164,0,0,0
TinyOozelingInAJar,50505,50188,51813,53955,56155,55947,60669,60454,64333,63371,67483,69517,0,0,0
SpikedCounterweight,63069,62050,65810,67630,69512,72276,73697,77438,80005,81741,84929,86740,0,0,0
SeepingScourgewing,125066,130585,135161,141565,146594,153398,158875,168293,172918,179989,186992,195297,0,0,0
GolgannethsVitality,0,0,120291,128424,135115,137527,149454,153512,161409,166900,175958,183049,192521,201576,210474
NaturesCall,75895,78154,78613,82031,84847,87173,87659,90061,92059,91224,93944,98971,0,0,0
SpontaneousAppendages,64368,68001,69145,69724,72202,77304,77323,80419,83193,87158,91525,94579,0,0,0
ThriceAccursedCompass,105939,110379,112678,116565,120957,126930,131777,137821,140820,145240,151584,157128,0,0,0
TerrorboundNexus,58472,60015,63542,64624,68944,69951,72166,75352,77747,79273,81266,83516,0,0,0
VoidStalkersContract,78893,79561,86883,91348,96325,99953,105699,110971,114990,122315,128385,133017,0,0,0
SpecterOfBetrayal,110487,116232,122923,128033,134416,143367,147666,156562,162320,171966,178875,186518,0,0,0
Stat_Versatility,101800,102949,107801,112423,117537,121194,124400,128394,135482,138000,145057,151028,0,0,0
TomeOfUnravelingSanity,94402,98481,99534,104897,110823,116785,118738,125862,128384,136653,142941,149432,0,0,0
InfernalAlchemistStone,0,98702,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,125619,0,0,0,0,0,159070,0,0,0,0,0,201745
VialOfCeaselessToxins,95394,100382,102819,109770,112667,118406,122038,129734,134472,143019,149505,159560,0,0,0
SpecterOfBetrayal_NoOverlap,87636,92933,96890,102192,106781,112532,116648,122341,129272,137097,143477,148578,0,0,0
ShadowsingedFang,98283,102463,108083,110850,116169,119361,122531,127101,131120,137318,145077,148368,0,0,0
WindscarWhetstone,46740,46677,46342,50183,52664,52856,52299,56621,58236,58589,59446,63279,0,0,0
ToeKneesPromise,60429,61049,63677,65482,66836,70160,70430,72572,76352,78011,82569,85688,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177658
EngineOfEradication,100445,102586,108952,112561,114376,123549,125108,129245,137317,141244,148429,154830,0,0,0
GorshalachsLegacy,124831,130865,134290,141804,145178,154134,158346,164804,173417,180671,188137,194374,0,0,0
TerminusSignalingBeacon,47534,45909,50550,50868,52318,52724,54016,57096,58230,61945,62588,62381,0,0,0
InfernalCinders_3Users,119099,125517,124959,131592,138647,141829,145905,153033,158248,164090,168970,176778,0,0,0
